COD_PDV_Origem;COD_PDV_Destino;saving_distancia_km;saving_tempo_min
7;27;50.213;65.93333333333334
5;45;47.786;59.083333333333336
7;5;47.401;58.65
7;45;47.401;58.55
5;27;45.198;52.2
5;7;45.198;52.36666666666667
7;28;44.929;53.78333333333333
26;28;44.303;68.25
1;27;44.026;68.48333333333333
14;45;43.992;53.11666666666667
47;27;43.714;64.86666666666666
20;28;43.545;69.98333333333333
7;36;43.442;58.916666666666664
14;5;43.314;51.55
7;26;43.263;56.6
7;29;43.22;58.06666666666667
33;27;43.105;63.31666666666667
1;7;43.043;65.8
14;7;42.762;50.86666666666667
14;27;42.762;50.666666666666664
28;26;42.702;72.26666666666667
9;27;42.612;63.21666666666667
10;27;42.606;61.71666666666667
28;27;42.531;57.483333333333334
22;28;42.322;60.083333333333336
36;27;42.306;59.81666666666667
29;27;42.299;59.53333333333333
47;7;42.245;60.31666666666667
26;27;42.129;56.75
5;14;42.084;49.56666666666667
7;14;42.084;50.233333333333334
11;27;42.076;61.71666666666667
49;27;42.075;61.483333333333334
7;2;41.761;53.0
24;27;41.601;60.03333333333333
20;26;41.441;72.4
38;27;41.425;64.66666666666667
36;28;41.39;63.18333333333333
20;27;41.27;57.65
33;7;41.235;58.86666666666667
47;28;41.044;61.71666666666667
9;7;40.997;59.1
49;7;40.996;59.03333333333333
38;7;40.968;64.15
28;7;40.838;52.03333333333333
29;7;40.83;54.95
10;7;40.737;57.333333333333336
45;5;40.553;61.43333333333333
27;7;40.486;63.4
1;28;40.475;64.73333333333333
7;1;40.452;67.98333333333333
26;7;40.436;51.35
36;7;40.436;55.0
45;7;40.323;61.21666666666667
7;37;40.299;46.25
28;36;40.241;65.18333333333334
11;7;40.206;57.266666666666666
29;28;40.171;58.5
2;27;40.169;51.583333333333336
7;38;40.011;65.4
26;36;39.958;64.41666666666667
47;36;39.953;68.26666666666667
45;27;39.932;58.25
35;27;39.782;52.233333333333334
33;28;39.782;58.06666666666667
50;27;39.751;50.266666666666666
24;7;39.731;55.38333333333333
2;28;39.709;58.15
36;26;39.674;66.53333333333333
47;5;39.673;53.483333333333334
47;45;39.673;53.61666666666667
22;26;39.638;61.666666666666664
20;7;39.577;52.15
41;27;39.535;55.25
7;47;39.513;63.15
50;28;39.493;57.266666666666666
22;27;39.49;47.95
47;29;39.487;66.56666666666666
5;28;39.476;36.93333333333333
1;5;39.424;54.63333333333333
1;45;39.423;54.71666666666667
47;26;39.378;64.28333333333333
28;29;39.377;62.55
7;20;39.306;56.6
37;27;39.278;48.28333333333333
11;45;39.258;52.18333333333333
29;36;39.228;64.25
7;9;39.215;61.916666666666664
36;29;39.195;67.03333333333333
26;29;39.094;61.983333333333334
17;27;39.048;54.266666666666666
1;36;39.038;66.96666666666667
13;27;39.018;52.8
20;36;38.981;65.16666666666667
7;10;38.973;61.15
31;43;38.961;56.016666666666666
48;27;38.917;53.083333333333336
10;28;38.911;55.75
1;29;38.816;66.21666666666667
7;11;38.768;61.15
18;28;38.752;56.43333333333333
44;28;38.752;56.35
33;36;38.75;66.0
7;49;38.719;60.06666666666667
48;45;38.715;55.81666666666667
41;7;38.709;55.75
2;7;38.701;46.95
33;5;38.663;52.06666666666667
33;45;38.663;52.083333333333336
26;20;38.63;71.7
28;20;38.63;71.8
41;45;38.608;54.583333333333336
24;45;38.513;50.483333333333334
44;18;38.495;58.05
29;26;38.455;61.9
22;2;38.455;56.0
9;28;38.426;54.483333333333334
9;5;38.425;52.38333333333333
9;45;38.425;52.31666666666667
49;5;38.425;52.416666666666664
49;45;38.424;52.38333333333333
28;2;38.408;61.38333333333333
26;2;38.408;61.233333333333334
11;28;38.38;55.65
5;36;38.368;43.95
38;5;38.314;57.21666666666667
38;45;38.314;57.21666666666667
7;33;38.304;60.05
50;7;38.283;45.7
29;5;38.258;48.13333333333333
29;45;38.258;48.21666666666667
48;7;38.207;55.03333333333333
23;27;38.199;49.78333333333333
28;5;38.184;44.833333333333336
28;45;38.184;45.06666666666667
10;5;38.165;50.55
10;45;38.165;50.61666666666667
49;28;38.122;53.03333333333333
20;29;38.116;62.75
33;26;38.066;61.55
36;2;38.058;62.31666666666667
20;2;38.056;62.583333333333336
47;2;38.028;61.68333333333333
29;2;38.028;61.81666666666667
13;7;38.01;50.78333333333333
10;36;37.992;63.85
1;26;37.954;65.68333333333334
27;5;37.915;56.7
27;45;37.914;56.7
35;7;37.912;47.31666666666667
24;28;37.905;53.65
2;36;37.904;59.7
10;29;37.895;61.68333333333333
33;29;37.886;63.583333333333336
36;45;37.864;48.05
36;5;37.864;48.1
22;7;37.797;42.55
26;5;37.782;44.06666666666667
26;45;37.782;44.166666666666664
13;45;37.77;50.96666666666667
5;26;37.76;40.483333333333334
22;29;37.726;54.45
5;29;37.718;41.583333333333336
17;7;37.712;51.68333333333333
50;36;37.687;58.766666666666666
50;2;37.662;60.333333333333336
11;5;37.634;50.516666666666666
2;26;37.606;60.78333333333333
27;28;37.506;57.483333333333334
18;31;37.466;53.5
44;31;37.466;53.36666666666667
18;43;37.465;53.666666666666664
44;43;37.465;53.516666666666666
11;36;37.461;63.78333333333333
2;29;37.46;59.13333333333333
42;45;37.419;51.03333333333333
7;24;37.418;56.36666666666667
37;7;37.408;43.61666666666667
9;36;37.395;62.733333333333334
50;26;37.389;59.9
11;29;37.364;61.65
1;2;37.357;61.31666666666667
42;27;37.341;48.1
7;13;37.334;54.05
22;36;37.319;55.75
22;20;37.287;64.18333333333334
10;26;37.194;59.15
17;45;37.163;50.583333333333336
24;5;37.159;48.55
35;28;37.122;50.6
49;36;37.091;60.93333333333333
23;45;37.082;49.8
50;29;37.042;57.88333333333333
14;28;37.04;35.86666666666667
48;5;37.038;52.15
35;45;37.01;43.03333333333333
9;29;36.949;59.483333333333334
42;7;36.932;50.13333333333333
41;5;36.932;50.85
18;27;36.931;43.333333333333336
44;27;36.931;43.016666666666666
37;28;36.929;48.45
7;35;36.925;54.0
20;5;36.924;44.916666666666664
20;45;36.923;44.95
34;27;36.908;40.06666666666667
24;29;36.889;59.96666666666667
22;37;36.763;49.81666666666667
24;36;36.723;60.36666666666667
9;26;36.71;58.06666666666667
7;41;36.664;51.45
11;26;36.663;59.06666666666667
33;2;36.631;59.2
10;2;36.63;59.6
23;7;36.595;48.85
31;28;36.544;51.13333333333333
46;27;36.522;44.8
5;37;36.499;33.15
18;44;36.432;53.65
49;26;36.406;56.28333333333333
5;2;36.371;38.083333333333336
7;50;36.351;49.56666666666667
38;28;36.348;53.13333333333333
4;27;36.254;38.28333333333333
27;36;36.232;63.2
49;29;36.226;58.4
24;26;36.189;57.416666666666664
7;48;36.177;49.63333333333333
24;2;36.134;59.78333333333333
2;45;36.129;40.0
2;5;36.129;40.11666666666667
11;2;36.099;59.5
47;37;36.097;53.95
13;5;36.093;47.06666666666667
7;42;35.985;50.2
18;26;35.962;56.78333333333333
44;26;35.961;56.8
14;36;35.932;42.86666666666667
47;1;35.915;73.51666666666667
28;37;35.87;53.43333333333333
26;37;35.87;53.46666666666667
27;26;35.84;60.266666666666666
27;29;35.798;61.666666666666664
31;18;35.792;51.166666666666664
42;5;35.743;47.2
35;2;35.726;56.166666666666664
36;20;35.717;66.61666666666666
50;45;35.711;39.0
50;5;35.711;38.88333333333333
9;2;35.684;57.13333333333333
2;37;35.658;52.7
20;37;35.658;53.18333333333333
50;37;35.657;52.583333333333336
29;37;35.657;52.95
49;2;35.652;56.55
46;45;35.647;45.016666666666666
31;27;35.541;38.75
33;37;35.535;53.6
1;37;35.535;53.71666666666667
10;37;35.535;53.916666666666664
7;22;35.5;44.416666666666664
17;5;35.486;46.78333333333333
7;17;35.468;46.4
7;23;35.468;46.7
47;20;35.421;64.41666666666667
23;5;35.406;45.983333333333334
35;26;35.406;54.13333333333333
35;36;35.405;53.85
17;28;35.392;49.2
37;2;35.351;52.53333333333333
35;5;35.341;40.36666666666667
28;22;35.335;60.8
36;37;35.328;53.81666666666667
14;26;35.324;39.5
39;31;35.293;52.2
38;36;35.29;59.85
14;29;35.281;40.8
37;36;35.213;51.88333333333333
37;26;35.213;52.21666666666667
37;29;35.212;51.4
35;29;35.199;54.11666666666667
46;7;35.16;44.15
22;5;35.143;35.233333333333334
22;45;35.143;35.31666666666667
34;45;35.088;39.2
45;28;35.082;47.96666666666667
18;7;35.061;38.5
44;7;35.061;38.11666666666667
31;44;35.043;49.733333333333334
24;37;35.039;54.15
11;37;35.004;53.8
5;38;34.957;51.35
34;7;34.955;36.88333333333333
5;1;34.949;51.78333333333333
22;44;34.94;50.95
1;20;34.902;64.96666666666667
5;13;34.888;49.53333333333333
35;37;34.846;51.31666666666667
43;28;34.841;49.233333333333334
37;5;34.836;36.6
37;45;34.836;36.516666666666666
20;22;34.83;62.25
26;22;34.824;59.81666666666667
4;7;34.802;34.8
2;20;34.782;63.31666666666667
1;47;34.749;70.0
45;14;34.743;51.56666666666667
41;28;34.684;44.21666666666667
38;26;34.682;55.983333333333334
5;10;34.65;48.266666666666666
38;29;34.64;57.43333333333333
9;37;34.589;51.333333333333336
28;1;34.571;67.58333333333333
43;31;34.568;49.5
50;20;34.565;62.416666666666664
49;37;34.556;50.8
33;47;34.519;69.15
29;20;34.498;61.93333333333333
5;47;34.49;49.1
3;27;34.475;35.05
23;28;34.459;45.05
26;1;34.456;66.81666666666666
47;33;34.454;69.01666666666667
5;11;34.445;48.35
21;27;34.431;34.56666666666667
47;9;34.379;66.0
4;45;34.374;33.88333333333333
47;10;34.371;66.63333333333334
47;14;34.356;45.06666666666667
22;50;34.346;58.1
27;2;34.338;56.766666666666666
17;29;34.336;54.1
44;2;34.307;49.81666666666667
18;2;34.307;50.016666666666666
43;27;34.253;36.13333333333333
5;9;34.192;47.833333333333336
7;46;34.187;45.483333333333334
13;28;34.167;41.78333333333333
47;11;34.166;66.66666666666667
29;47;34.13;66.06666666666666
1;9;34.13;67.4
29;1;34.113;66.51666666666667
33;20;34.108;61.61666666666667
1;14;34.107;46.43333333333333
43;18;34.088;49.63333333333333
48;28;34.067;42.483333333333334
28;47;34.063;62.81666666666667
5;41;34.049;46.4
33;1;34.028;68.08333333333333
40;27;34.011;33.5
42;28;34.011;41.916666666666664
17;36;34.0;54.833333333333336
17;2;33.996;54.766666666666666
22;18;33.973;49.4
46;5;33.971;41.233333333333334
10;47;33.946;67.26666666666667
14;2;33.935;37.18333333333333
45;36;33.891;52.88333333333333
11;10;33.84;69.83333333333333
18;22;33.834;56.833333333333336
44;22;33.834;56.75
33;10;33.808;66.01666666666667
5;20;33.803;40.5
36;1;33.781;67.18333333333334
29;33;33.779;66.21666666666667
31;26;33.754;51.43333333333333
7;44;33.734;36.43333333333333
5;48;33.729;44.63333333333333
36;47;33.72;65.48333333333333
7;4;33.72;34.516666666666666
5;49;33.704;46.166666666666664
17;26;33.676;52.71666666666667
31;7;33.672;33.5
26;47;33.661;62.083333333333336
18;36;33.643;51.31666666666667
44;36;33.642;51.05
47;49;33.641;63.833333333333336
22;31;33.612;45.81666666666667
22;43;33.611;45.766666666666666
33;11;33.604;66.15
10;11;33.594;67.2
43;44;33.567;49.36666666666667
1;10;33.559;64.61666666666666
7;34;33.544;40.81666666666667
1;33;33.54;67.11666666666666
10;33;33.539;66.91666666666667
41;36;33.534;51.083333333333336
13;36;33.533;50.93333333333333
10;9;33.513;65.7
29;10;33.489;62.7
23;29;33.488;49.7
26;50;33.455;59.7
10;1;33.455;66.16666666666667
28;50;33.455;59.766666666666666
9;10;33.425;67.1
7;18;33.418;35.6
4;28;33.416;42.666666666666664
11;47;33.416;67.2
45;26;33.416;49.85
5;35;33.415;43.95
34;5;33.411;35.21666666666667
48;36;33.38;51.0
45;29;33.373;51.65
33;9;33.369;64.7
28;33;33.36;60.53333333333333
1;11;33.354;64.61666666666666
9;47;33.35;66.11666666666666
33;14;33.346;43.86666666666667
21;7;33.316;35.95
3;7;33.308;31.633333333333333
38;2;33.293;53.8
29;11;33.284;62.75
5;33;33.28;46.13333333333333
28;10;33.276;58.3
44;20;33.27;57.38333333333333
18;20;33.27;57.75
10;20;33.237;59.266666666666666
9;11;33.221;67.15
32;45;33.203;42.15
20;50;33.202;61.983333333333334
36;33;33.178;65.15
23;36;33.152;50.1
48;29;33.151;49.333333333333336
27;37;33.139;51.63333333333333
20;1;33.138;66.6
17;37;33.116;49.983333333333334
9;14;33.108;43.9
49;14;33.108;44.03333333333333
2;50;33.105;60.4
36;50;33.105;60.53333333333333
36;10;33.094;62.81666666666667
33;49;33.079;63.35
10;49;33.076;64.43333333333334
26;33;33.076;60.083333333333336
28;11;33.072;58.43333333333333
23;2;33.063;50.916666666666664
9;49;33.047;64.68333333333334
49;47;33.046;64.5
49;9;33.046;64.88333333333334
49;10;33.046;64.76666666666667
5;42;33.044;44.983333333333334
47;38;33.027;62.666666666666664
41;26;33.018;47.43333333333333
11;33;33.008;66.9
38;14;32.997;48.85
26;10;32.993;57.916666666666664
47;24;32.988;61.733333333333334
11;9;32.982;65.66666666666667
42;29;32.982;46.65
41;29;32.976;48.71666666666667
29;9;32.964;61.11666666666667
31;36;32.942;45.61666666666667
29;14;32.941;39.93333333333333
11;1;32.924;66.13333333333334
31;2;32.917;46.083333333333336
18;45;32.915;34.233333333333334
5;24;32.915;42.766666666666666
44;45;32.915;33.516666666666666
36;11;32.89;62.88333333333333
28;9;32.89;57.7
3;45;32.88;31.216666666666665
28;14;32.867;36.766666666666666
13;29;32.854;47.5
13;26;32.849;45.95
10;14;32.848;42.13333333333333
40;7;32.844;30.65
49;11;32.841;64.86666666666666
14;37;32.839;31.416666666666668
20;47;32.802;62.96666666666667
24;10;32.789;65.41666666666667
26;11;32.789;58.03333333333333
42;36;32.788;48.68333333333333
18;29;32.778;48.7
44;29;32.778;48.55
1;38;32.777;64.03333333333333
29;49;32.759;60.03333333333333
9;20;32.753;58.18333333333333
23;26;32.743;48.583333333333336
11;20;32.706;59.2
9;1;32.688;64.9
10;24;32.681;63.71666666666667
24;47;32.678;63.81666666666667
45;2;32.651;47.38333333333333
13;2;32.651;47.0
47;50;32.618;58.63333333333333
29;50;32.618;58.68333333333333
40;45;32.617;30.816666666666666
42;2;32.616;47.65
44;37;32.603;47.75
18;37;32.603;47.75
27;14;32.598;48.4
5;23;32.595;40.36666666666667
9;33;32.594;64.58333333333333
24;11;32.585;65.6
5;17;32.583;40.25
36;22;32.583;54.7
48;2;32.583;48.68333333333333
2;22;32.582;54.666666666666664
36;9;32.57;61.1
36;14;32.547;39.85
28;49;32.547;55.5
11;49;32.545;64.38333333333334
24;33;32.534;65.11666666666666
1;49;32.532;62.7
49;1;32.521;64.21666666666667
14;38;32.52;49.93333333333333
14;1;32.513;50.583333333333336
44;5;32.489;31.066666666666666
18;5;32.489;31.133333333333333
26;9;32.488;57.13333333333333
21;45;32.482;36.916666666666664
41;2;32.477;47.45
21;5;32.47;33.63333333333333
26;14;32.465;35.75
48;26;32.451;46.96666666666667
49;20;32.449;56.483333333333334
39;27;32.437;34.21666666666667
27;1;32.433;69.61666666666666
33;24;32.426;61.266666666666666
1;24;32.425;61.733333333333334
28;18;32.409;50.016666666666666
7;31;32.405;31.283333333333335
7;43;32.404;31.416666666666668
24;1;32.4;63.583333333333336
43;7;32.383;30.7
36;49;32.364;60.11666666666667
27;47;32.353;67.88333333333334
31;39;32.345;51.733333333333334
24;20;32.342;59.65
12;27;32.325;29.5
11;14;32.317;42.1
42;26;32.295;45.71666666666667
26;49;32.263;55.18333333333333
4;5;32.23;27.933333333333334
24;9;32.227;62.71666666666667
34;2;32.214;42.53333333333333
49;33;32.214;62.233333333333334
38;37;32.198;48.0
23;37;32.183;46.15
11;24;32.139;63.86666666666667
9;38;32.121;62.5
49;38;32.12;62.46666666666667
39;43;32.106;47.1
29;24;32.106;57.983333333333334
20;33;32.099;60.6
36;24;32.075;58.15
31;22;32.07;50.9
27;9;32.056;66.68333333333334
14;47;32.053;47.833333333333336
43;26;32.05;50.0
29;22;32.036;52.86666666666667
47;22;32.036;52.583333333333336
33;38;32.017;61.3
20;10;32.016;58.46666666666667
34;28;32.01;40.15
2;47;32.001;58.166666666666664
22;33;31.999;51.81666666666667
2;1;31.983;58.666666666666664
28;44;31.979;48.81666666666667
1;50;31.948;58.13333333333333
50;22;31.947;52.46666666666667
35;20;31.934;56.05
10;35;31.932;60.233333333333334
7;21;31.928;37.25
22;10;31.916;49.666666666666664
27;20;31.883;60.4
38;1;31.872;67.21666666666667
34;36;31.861;40.483333333333334
24;14;31.842;40.28333333333333
20;11;31.811;58.56666666666667
24;49;31.79;61.55
13;37;31.771;42.36666666666667
45;37;31.771;42.85
41;37;31.771;42.53333333333333
48;37;31.759;44.13333333333333
14;9;31.756;46.7
49;24;31.745;61.03333333333333
42;37;31.735;43.15
9;24;31.727;61.53333333333333
6;27;31.716;28.15
22;11;31.712;49.8
7;3;31.71;30.45
47;35;31.707;57.3
4;26;31.7;46.31666666666667
4;37;31.7;46.0
4;2;31.7;45.666666666666664
4;29;31.699;45.53333333333333
4;36;31.699;45.93333333333333
26;44;31.691;46.95
46;28;31.672;34.1
32;5;31.664;37.95
22;24;31.659;48.71666666666667
1;35;31.655;57.31666666666667
50;1;31.631;58.05
20;9;31.63;57.96666666666667
29;38;31.612;57.68333333333333
20;14;31.607;36.766666666666666
28;43;31.604;46.11666666666667
28;31;31.604;46.233333333333334
27;10;31.587;64.75
50;47;31.583;56.96666666666667
37;20;31.559;52.4
28;38;31.538;54.15
5;46;31.529;40.25
31;45;31.526;30.333333333333332
14;10;31.522;45.86666666666667
10;38;31.518;59.68333333333333
47;13;31.515;54.6
24;35;31.479;60.86666666666667
2;33;31.442;57.3
10;50;31.419;56.083333333333336
33;50;31.419;55.75
38;47;31.412;64.45
11;35;31.39;60.46666666666667
27;11;31.383;64.85
14;20;31.367;39.53333333333333
2;10;31.359;55.11666666666667
11;38;31.353;60.1
27;49;31.333;63.86666666666667
14;11;31.318;45.88333333333333
36;35;31.305;54.0
22;1;31.304;55.016666666666666
20;49;31.286;55.7
26;18;31.286;47.733333333333334
26;24;31.283;54.56666666666667
28;24;31.283;54.35
27;38;31.268;65.85
14;49;31.268;44.88333333333333
9;35;31.253;58.86666666666667
49;35;31.252;58.766666666666666
38;10;31.251;62.78333333333333
43;36;31.238;43.85
48;14;31.228;42.28333333333333
36;38;31.218;57.55
43;2;31.214;44.45
31;29;31.213;43.88333333333333
31;37;31.213;43.78333333333333
22;49;31.186;46.95
12;7;31.158;25.85
2;11;31.155;55.15
1;13;31.147;56.38333333333333
46;36;31.146;42.05
33;35;31.145;56.766666666666666
27;33;31.144;64.95
26;38;31.136;53.36666666666667
38;9;31.114;63.233333333333334
31;5;31.1;26.816666666666666
1;22;31.096;52.666666666666664
14;13;31.094;43.21666666666667
3;28;31.062;38.266666666666666
47;42;31.049;54.0
38;11;31.047;62.916666666666664
50;33;31.024;56.03333333333333
22;47;31.022;53.1
38;49;30.997;61.983333333333334
41;14;30.963;40.833333333333336
36;44;30.948;45.46666666666667
2;44;30.948;45.516666666666666
50;10;30.941;53.88333333333333
40;5;30.941;26.783333333333335
34;26;30.937;40.983333333333334
34;29;30.936;40.166666666666664
34;37;30.936;40.85
20;44;30.933;48.55
46;29;30.917;40.233333333333334
35;33;30.897;58.0
11;50;30.888;56.05
5;34;30.886;35.666666666666664
28;35;30.877;52.8
26;35;30.877;52.75
35;47;30.859;56.0
5;50;30.849;33.6
47;41;30.845;52.03333333333333
14;33;30.844;44.6
2;9;30.835;53.15
29;35;30.825;53.45
2;14;30.812;31.75
35;24;30.78;55.86666666666667
50;11;30.737;53.916666666666664
3;5;30.736;24.866666666666667
24;50;30.725;56.65
38;20;30.725;55.983333333333334
35;10;30.718;55.916666666666664
2;24;30.714;53.93333333333333
46;2;30.691;41.35
20;24;30.691;55.083333333333336
10;42;30.684;55.43333333333333
36;18;30.633;44.28333333333333
2;18;30.632;44.25
2;49;30.629;52.416666666666664
35;1;30.582;55.61666666666667
21;28;30.582;27.966666666666665
39;7;30.567;29.233333333333334
6;7;30.549;24.283333333333335
10;13;30.538;53.6
7;40;30.536;32.1
40;28;30.528;35.28333333333333
20;18;30.528;49.28333333333333
35;11;30.514;56.0
24;38;30.513;57.85
9;13;30.505;54.583333333333336
49;13;30.505;54.6
33;42;30.486;53.43333333333333
26;31;30.481;43.7
26;43;30.48;43.81666666666667
45;38;30.479;61.5
1;41;30.477;53.88333333333333
9;50;30.473;53.61666666666667
1;42;30.437;52.45
14;32;30.435;33.05
33;13;30.429;52.55
35;9;30.425;54.5
11;42;30.42;56.416666666666664
50;9;30.417;51.86666666666667
50;14;30.394;30.45
37;33;30.393;54.36666666666667
43;22;30.366;49.15
31;20;30.362;49.96666666666667
47;48;30.358;50.18333333333333
37;47;30.354;52.45
35;50;30.317;52.96666666666667
49;42;30.312;54.81666666666667
18;50;30.306;51.983333333333334
37;50;30.306;50.4
44;50;30.306;51.9
9;42;30.304;55.06666666666667
50;24;30.297;52.65
20;38;30.277;54.166666666666664
11;13;30.274;54.7
14;41;30.256;40.21666666666667
47;17;30.251;49.65
47;23;30.25;49.916666666666664
49;50;30.242;53.25
17;10;30.236;59.5
10;23;30.235;51.05
45;1;30.235;60.35
33;22;30.228;51.483333333333334
10;22;30.227;51.8
10;17;30.222;50.86666666666667
37;10;30.213;52.35
50;49;30.211;51.11666666666667
5;4;30.211;24.8
17;20;30.204;54.55
38;33;30.202;61.516666666666666
29;42;30.167;50.35
41;13;30.159;58.25
45;13;30.159;58.81666666666667
46;26;30.157;38.35
37;35;30.152;51.416666666666664
2;35;30.147;50.03333333333333
50;35;30.147;49.71666666666667
10;48;30.135;51.65
10;41;30.134;51.516666666666666
37;24;30.086;51.68333333333333
43;29;30.082;41.9
43;37;30.082;42.36666666666667
37;1;30.077;51.71666666666667
17;35;30.032;60.083333333333336
27;24;30.032;60.06666666666667
17;11;30.031;59.6
28;13;30.026;46.05
35;14;30.024;32.18333333333333
29;13;30.024;48.65
24;42;30.019;55.03333333333333
37;11;30.009;52.45
3;2;30.004;39.833333333333336
42;14;30.001;36.5
1;48;29.99;52.083333333333336
35;49;29.988;53.233333333333334
43;39;29.984;49.2
17;33;29.981;59.233333333333334
11;23;29.971;52.11666666666667
3;36;29.97;38.65
14;24;29.967;40.88333333333333
11;17;29.958;51.916666666666664
17;49;29.956;58.483333333333334
17;9;29.955;58.56666666666667
17;47;29.955;58.2
28;42;29.954;45.833333333333336
27;13;29.948;57.7
38;13;29.947;57.516666666666666
33;48;29.937;49.666666666666664
45;10;29.921;57.75
37;9;29.921;50.9
45;9;29.921;57.516666666666666
13;14;29.907;34.6
11;48;29.871;52.75
11;41;29.87;52.6
22;9;29.849;48.45
17;1;29.847;57.71666666666667
37;22;29.842;50.38333333333333
41;1;29.838;57.36666666666667
25;27;29.838;27.85
41;38;29.837;57.2
9;41;29.836;52.13333333333333
49;41;29.835;52.083333333333336
22;14;29.826;26.633333333333333
17;14;29.824;36.61666666666667
43;45;29.822;28.783333333333335
43;5;29.812;23.766666666666666
46;37;29.81;37.03333333333333
9;23;29.796;51.766666666666666
9;17;29.796;51.53333333333333
49;17;29.796;51.43333333333333
49;23;29.795;51.733333333333334
45;47;29.775;57.666666666666664
36;42;29.772;50.266666666666666
49;48;29.763;51.083333333333336
33;41;29.759;50.0
9;48;29.754;51.4
24;17;29.749;51.5
24;22;29.731;52.03333333333333
20;31;29.723;45.35
20;43;29.722;45.38333333333333
45;11;29.717;57.78333333333333
38;24;29.696;58.21666666666667
11;22;29.696;51.733333333333334
39;28;29.69;42.983333333333334
33;17;29.689;49.45
33;23;29.688;49.6
26;42;29.671;45.45
17;24;29.668;58.2
45;49;29.667;56.75
23;14;29.664;35.21666666666667
5;22;29.641;32.53333333333333
36;13;29.626;48.18333333333333
26;13;29.624;45.1
36;31;29.62;39.96666666666667
36;43;29.619;40.3
2;31;29.619;40.25
2;43;29.619;40.483333333333334
